Sepal Length,Sepal Length Confidence,Sepal Width,Sepal Width Confidence,Petal Length,Petal Length Confidence,Petal Width,Petal Width Confidence
5.1,99.3,3.5,98.7,1.4,95.2,0.2,84.6
4.9,99.8,3.0,97.7,1.4,94.6,0.2,93.0
4.7,99.4,3.2,98.8,1.3,95.4,0.2,92.5
4.6,99.7,3.1,98.4,1.5,95.8,0.2,76.1
5.0,99.0,3.6,99.5,1.4,97.0,0.2,74.6
5.4,99.7,3.9,97.7,1.7,97.3,0.4,86.2
4.6,99.7,3.4,98.3,1.4,98.6,0.3,98.2
5.0,99.8,3.4,99.8,1.5,99.9,0.2,77.9
4.4,99.6,2.9,99.0,1.4,97.6,0.2,86.1
4.9,99.8,3.1,98.9,1.5,99.8,0.1,45.1
5.4,99.3,3.7,98.8,1.5,95.9,0.2,79.1
4.8,100.0,3.4,97.6,1.6,93.8,0.2,64.4
4.8,99.6,3.0,97.9,1.4,96.7,0.1,51.3
4.3,98.3,3.0,97.3,1.1,91.5,0.1,53.0
5.8,97.7,4.0,94.3,1.2,78.3,0.2,96.4
5.7,98.6,4.4,99.6,1.5,92.8,0.4,87.9
5.4,99.0,3.9,97.9,1.3,86.9,0.4,63.8
5.1,99.8,3.5,99.2,1.4,94.6,0.3,80.1
5.7,99.8,3.8,99.8,1.7,99.0,0.3,93.5
5.1,99.3,3.8,99.0,1.5,99.7,0.3,94.2
5.4,99.6,3.4,99.9,1.7,99.2,0.2,78.1
5.1,99.9,3.7,98.7,1.5,98.8,0.4,76.1
4.6,96.8,3.6,96.3,1.0,81.7,0.2,80.4
5.1,98.0,3.3,97.2,1.7,97.6,0.5,59.2
4.8,99.4,3.4,94.7,1.9,87.1,0.2,50.4
5.0,99.3,3.0,99.4,1.6,99.9,0.2,88.5
5.0,98.9,3.4,97.8,1.6,97.7,0.4,72.8
5.2,99.6,3.5,99.3,1.5,97.7,0.2,81.2
5.2,99.5,3.4,97.7,1.4,93.0,0.2,96.4
4.7,99.6,3.2,97.5,1.6,93.6,0.2,68.6
4.8,99.4,3.1,98.5,1.6,95.7,0.2,76.1
5.4,99.3,3.4,98.6,1.5,92.8,0.4,53.9
5.2,97.5,4.1,99.9,1.5,99.5,0.1,27.8
5.5,97.7,4.2,98.3,1.4,91.7,0.2,64.0
4.9,99.8,3.1,98.9,1.5,99.8,0.1,45.1
5.0,99.1,3.2,95.5,1.2,85.7,0.2,79.0
5.5,98.9,3.5,95.1,1.3,84.7,0.2,83.1
4.9,99.8,3.1,98.9,1.5,99.8,0.1,45.1
4.4,99.8,3.0,99.9,1.3,99.1,0.2,89.7
5.1,99.8,3.4,99.5,1.5,98.6,0.2,82.2
5.0,99.3,3.5,98.5,1.3,91.7,0.3,77.3
4.5,98.9,2.3,94.1,1.3,88.1,0.3,45.3
4.4,99.3,3.2,99.4,1.3,99.8,0.2,77.3
5.0,98.3,3.5,96.9,1.6,99.1,0.6,53.8
5.1,99.1,3.8,94.7,1.9,89.5,0.4,93.4
4.8,99.3,3.0,99.0,1.4,95.8,0.3,67.2
5.1,99.1,3.8,98.4,1.6,96.2,0.2,59.0
4.6,99.8,3.2,99.3,1.4,98.8,0.2,78.9
5.3,99.2,3.7,99.4,1.5,97.3,0.2,75.0
5.0,99.7,3.3,98.6,1.4,95.5,0.2,92.3
7.0,97.9,3.2,96.2,4.7,96.0,1.4,96.1
6.4,97.6,3.2,93.6,4.5,94.9,1.5,91.0
6.9,98.5,3.1,97.6,4.9,97.2,1.5,99.0
5.5,99.2,2.3,98.6,4.0,99.9,1.3,96.9
6.5,98.6,2.8,99.5,4.6,99.1,1.5,94.0
5.7,99.6,2.8,95.9,4.5,95.5,1.3,88.0
6.3,98.1,3.3,92.9,4.7,94.6,1.6,94.3
4.9,97.5,2.4,93.8,3.3,94.2,1.0,94.7
6.6,98.6,2.9,98.2,4.6,97.0,1.3,95.9
5.2,98.1,2.7,93.4,3.9,95.6,1.4,90.7
5.0,99.3,2.0,97.3,3.5,99.9,1.0,95.4
5.9,97.5,3.0,93.3,4.2,95.3,1.5,87.1
6.0,99.7,2.2,93.3,4.0,98.6,1.0,87.8
6.1,99.4,2.9,96.7,4.7,96.3,1.4,92.1
5.6,96.5,2.9,92.1,3.6,94.0,1.3,78.8
6.7,97.5,3.1,95.7,4.4,96.2,1.4,89.0
5.6,99.2,3.0,93.6,4.5,95.0,1.5,97.9
5.8,98.8,2.7,96.1,4.1,94.4,1.0,83.5
6.2,99.6,2.2,90.1,4.5,95.1,1.5,96.8
5.6,98.5,2.5,97.5,3.9,96.5,1.1,95.9
5.9,99.1,3.2,94.0,4.8,96.5,1.8,93.9
6.1,97.4,2.8,96.0,4.0,96.6,1.3,87.3
6.3,99.2,2.5,94.5,4.9,98.3,1.5,92.0
6.1,100.0,2.8,98.0,4.7,96.1,1.2,80.4
6.4,97.9,2.9,96.6,4.3,96.4,1.3,95.0
6.6,97.7,3.0,96.5,4.4,96.8,1.4,90.3
6.8,99.2,2.8,98.6,4.8,99.3,1.4,96.7
6.7,99.0,3.0,98.8,5.0,99.0,1.7,94.9
6.0,98.6,2.9,95.7,4.5,96.6,1.5,96.5
5.7,97.3,2.6,96.1,3.5,95.6,1.0,91.3
5.5,98.5,2.4,98.4,3.8,97.4,1.1,98.6
5.5,98.4,2.4,98.2,3.7,96.7,1.0,95.3
5.8,97.7,2.7,95.6,3.9,95.8,1.2,93.5
