Area,Area Confidence,Perimeter,Perimeter Confidence,Compactness,Compactness Confidence,Kernel Length,Kernel Length Confidence,Kernel Width,Kernel Width Confidence,Asymmetry Coefficient,Asymmetry Coefficient Confidence,Kernel Groove Length,Kernel Groove Length Confidence,Wheat Variety
15.26,99.8261579047542,14.84,99.98570297173828,0.871,99.31464630788966,5.763,99.11690064563525,3.312,99.75604357511806,2.221,96.5515870101408,5.22,96.29105388480073,1
14.88,98.496418329328,14.57,99.78619075872906,0.8811,98.9295117514705,5.553999999999999,99.49912603369299,3.333,99.70192216858075,1.018,14.082073757284896,4.956,94.62363482519561,1
14.29,99.5388320908897,14.09,99.76277383093091,0.905,99.06536579446843,5.291,99.62399637375242,3.3369999999999997,99.55119803949823,2.699,93.42772267490935,4.825,98.29273101334437,1
13.84,99.0699529108358,13.94,99.95177943329654,0.8955,96.70954956853222,5.324,98.6702153023097,3.3789999999999996,96.40024145533049,2.259,97.7550335064239,4.805,99.7157549901988,1
16.14,98.89385470732226,14.99,99.46322590949211,0.9034,99.33822327134739,5.6579999999999995,99.86767142920068,3.562,99.30540945133149,1.355,45.14390233841936,5.175,97.38323503709931,1
14.38,99.80496430835272,14.21,99.81990404370603,0.8951,99.64960901624697,5.386,99.80572098323395,3.312,99.9273898755232,2.4619999999999997,97.58226989996514,4.956,98.77878596136536,1
14.69,99.17658232036774,14.49,99.52663409007639,0.8799,99.37600923862934,5.563,99.93981021805256,3.259,99.41433862801894,3.5860000000000003,87.47417374656182,5.218999999999999,99.21918274079306,1
14.11,99.85477308494887,14.1,99.93037928131554,0.8911,99.25215402454013,5.42,98.94969697413272,3.302,98.6579073663351,2.7,93.42341920817721,5.0,99.92143330613276,1
16.63,99.60116454757562,15.46,99.37347451082549,0.8747,99.00343323335973,6.053,98.86164908857624,3.465,98.82947012353793,2.04,82.91738393418167,5.877000000000001,98.35146677810044,1
16.44,99.62258327501304,15.25,99.44439607130771,0.888,99.59269754705517,5.8839999999999995,99.12835627172673,3.505,99.3401293267749,1.969,82.75585725012104,5.5329999999999995,99.39478449067023,1
15.26,98.82304102479468,14.85,99.2735384801224,0.8696,98.3950784894616,5.7139999999999995,99.80126556475716,3.242,97.91853283084977,4.543,86.0206707668748,5.314,96.51614346786197,1
14.03,99.60390470201705,14.16,99.95636113913996,0.8796,99.88360017184715,5.438,99.7581557983611,3.201,99.74936708323057,1.7169999999999999,80.21079584781596,5.001,97.77942610491374,1
13.89,98.6148220352406,14.02,99.88600087863236,0.888,98.09559067972918,5.439,98.04456654769153,3.199,98.7194494082794,3.986,83.75178792417293,4.738,93.32696921582867,1
13.78,99.17614737214024,14.06,99.96102289139908,0.8759,99.29552173383063,5.479,98.48326067254858,3.156,99.51784617949075,3.136,87.16822341919733,4.872,95.43552022597119,1
13.74,98.97174864145443,14.05,99.97547528780815,0.8744,98.28009923311579,5.482,98.59868474937232,3.114,98.41393812648658,2.932,87.73353007831003,4.825,93.8084363349672,1
14.59,98.98106728666939,14.28,99.31462077246273,0.8993,98.46209247596572,5.351,99.53577124502111,3.333,98.53831537385295,4.185,85.9573247070505,4.781000000000001,95.13924400947408,1
13.99,99.33710085969277,13.83,99.65353838740026,0.9183,99.01531679478262,5.119,99.17084915748848,3.383,99.8812317760507,5.234,90.51914304371375,4.781000000000001,99.50504120864149,1
15.69,99.23157626045297,14.75,99.76600794799228,0.9058,99.8587913949763,5.527,99.40104716951723,3.514,99.77613550858642,1.599,66.50904450836438,5.046,97.47322050118488,1
14.7,99.23895398523658,14.21,99.63808974571957,0.9153,99.79185625340669,5.205,98.19815751096489,3.466,99.89062535617957,1.767,78.12807903371157,4.649,96.6774207924824,1
12.72,99.58089714021743,13.57,99.30633762144173,0.8686,99.47132424237391,5.226,99.73369846408075,3.049,99.56499507520026,4.102,90.32746107493435,4.914,99.95549994358052,1
14.16,99.50778721239645,14.4,99.69672089928206,0.8584,99.65803226005283,5.6579999999999995,98.88184495292796,3.1289999999999996,99.94557617615457,3.072,89.63169066860647,5.176,97.10722665687828,1
14.11,99.61564538547645,14.26,99.73718707900389,0.8722,99.78142585206099,5.52,99.95715022015634,3.168,99.76407722936564,2.688,95.04407890812332,5.218999999999999,99.95184767376325,1
15.88,98.2913779423856,14.9,99.32359592181838,0.8988,99.43473161674899,5.617999999999999,99.26591451218721,3.5069999999999997,99.74979334870055,0.7651,39.399221422224805,5.091,95.60104828202735,1
12.08,99.0987512543548,13.23,99.95165278094798,0.8664,99.83824479254022,5.099,98.39635070486592,2.9360000000000004,99.82791177470357,1.415,54.44821186969917,4.961,97.79554477913447,1
15.01,99.73512938942596,14.76,99.67607172880373,0.8657,99.96376004751656,5.789,98.38900982404736,3.245,99.38523612096294,1.791,86.57012662459542,5.001,91.47853236068164,1
16.19,98.94022533796051,15.16,99.10778678677642,0.8849,99.07683525753535,5.832999999999999,99.96321324130191,3.4210000000000003,98.87824889522498,0.903,46.65637712671094,5.307,94.56048050971746,1
13.02,99.14747665646044,13.76,99.79495355557432,0.8641,99.37821824645849,5.395,98.71044168104599,3.0260000000000002,99.35037422409437,3.373,87.66469499232356,4.825,95.52250638194613,1
12.74,99.57641788945563,13.67,99.99342621760519,0.8564,99.44179873049431,5.395,98.91321970776055,2.9560000000000004,99.273613822556,2.504,96.27145052442188,4.869,96.03453055107255,1
14.11,99.39343649850181,14.18,99.6699307133589,0.882,99.5874549017876,5.541,98.17135563252126,3.221,99.76252550349749,2.7539999999999996,90.72642900332555,5.038,97.8213169868934,1
13.45,99.30303268741287,14.02,99.74334522849205,0.8604,99.84328440869528,5.516,98.80027562837896,3.065,99.88490331156217,3.531,88.07291843486522,5.0969999999999995,98.25082324897008,1
13.16,99.38966059676184,13.82,98.91278548120161,0.8662,97.75613192905928,5.454,99.72649189104158,2.975,97.83033494902187,0.8551,48.73547725713845,5.056,96.2828489774624,1
15.49,99.77937252127738,14.94,99.44405193630634,0.8724,98.63107162436172,5.757000000000001,99.21775532339237,3.3710000000000004,99.24119646667651,3.412,88.3968613822672,5.228,97.00546562914944,1
14.09,99.99060504355221,14.41,99.68467050142863,0.8529,96.69883070568719,5.7170000000000005,97.83891006664855,3.1860000000000004,97.08433139112505,3.92,87.69723433398295,5.2989999999999995,99.6789233143183,1
13.94,99.72149288770599,14.17,99.46087259635603,0.8728,99.39340484586609,5.585,98.09381273551033,3.15,99.76138358221205,2.124,98.93154751366761,5.012,95.9619193496881,1
15.05,99.72067688172143,14.68,99.7128571265985,0.8779,98.9800167443326,5.712000000000001,98.96765972871961,3.3280000000000003,98.82895310037692,2.129,92.90818890880573,5.36,99.97530895234476,1
16.12,99.84103761965082,15.0,99.64652609049845,0.9,98.94021070442889,5.709,99.98654206488777,3.485,99.5877203053223,2.27,93.27327398506432,5.443,99.55529958697933,1
16.2,99.62289436161458,15.27,99.35212530205206,0.8734,97.73474145999812,5.8260000000000005,99.60320609825017,3.464,98.64999825034751,2.823,98.32605951181878,5.527,99.57752510652969,1
17.08,99.94053030782025,15.38,99.65634511771046,0.9079,99.56965829379205,5.832000000000001,99.0786875885811,3.6830000000000003,98.92144464088778,2.9560000000000004,97.16855993328653,5.484,99.58439620526815,1
14.8,99.28544423825673,14.52,99.82102674005648,0.8823,99.6306865634416,5.656000000000001,98.6084926787458,3.2880000000000003,99.73724265502688,3.112,89.14224098224992,5.309,99.99280772010364,1
14.28,99.89398562672478,14.17,99.81945804417774,0.8944,98.97281450791908,5.397,99.95928621109555,3.298,99.28130374019418,6.685,96.48008661114146,5.001,95.19960075962584,1
13.54,99.3874035491702,13.85,99.81514707900763,0.8871,98.95495058444045,5.348,99.83621963293689,3.156,99.85975622120097,2.5869999999999997,96.3615509246619,5.178,97.27588733424858,1
13.5,99.79322877187275,13.85,99.76964057096353,0.8852,99.53670151280932,5.351,99.9080155608683,3.158,99.68877298847836,2.249,96.67107690592876,5.176,97.22209624482299,1
13.16,99.58301788343859,13.55,99.95809302863215,0.9009,99.11247957276332,5.138,99.8704395338876,3.201,99.99834628094067,2.461,96.73811882683786,4.783,99.3727311975905,1
15.5,99.10219767598868,14.86,99.44749055995128,0.882,99.4497926922982,5.877000000000001,96.89056963776159,3.3960000000000004,98.41243976804665,4.711,85.29434956435482,5.528,99.74868596050025,1
15.11,99.84841645537993,14.54,99.85321981036365,0.8986,98.595772647291,5.579,98.44938093909391,3.4619999999999997,97.90621378146986,3.128,90.14983023140171,5.18,99.0511511255244,1
13.8,99.6261908374042,14.04,99.9623146555916,0.8794,99.19661665364879,5.376,99.2424246397482,3.155,99.00734596480764,1.56,72.22901286751974,4.961,97.52684769175211,1
15.36,99.1217091457899,14.76,99.333304600882,0.8861,99.42368957649961,5.7010000000000005,99.04135603418206,3.3930000000000002,99.42953301602863,1.367,55.835380951767036,5.132000000000001,95.93155298855753,1
14.99,99.80849310751204,14.56,99.78362054523465,0.8883,99.21092408125111,5.57,99.45402336087629,3.377,99.03807734045483,2.958,91.95993824513631,5.175,99.80324445243615,1
